asw,s,d,f,g,h,j,k,l
3-5年,本科,深圳,福田区,福田保税区,14,19K,天阳科技,Python.Java.Spark.Kafka.HDFS.MapReduce.HIVE.Kylin
5-10年,本科,深圳,南山区,西丽,15,25K·13薪,TCL实业,Java.Python.Hive.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,深圳,南山区,科技园,30,60K·15薪,北京字节跳动,SQL.Hive.Spark
经验不限,本科,深圳,南山区,科技园,18,35K·13薪,名竹科技,Java.Spark.Hadoop.Presto.Flink.Druid
3-5年,本科,深圳,福田区,梅林,20,26K,诚迈科技,Python.HIVE.Flink
3-5年,本科,深圳,南山区,科技园,25,50K·15薪,Shopee,标签规则开发.用户画像.数据分析
3-5年,本科,深圳,南山区,科技园,15,25K,鹏微,Java.Python.Datastage.Powercenter.Hadoop.Kafka.Spark.Zookeeper
3-5年,本科,深圳,龙岗区,坂田,15,20K,万泰达,Python.Java.HDFS.Hadoop.HIVE.Hbase
5-10年,本科,深圳,宝安区,宝安机场,20,30K·13薪,跨越速运,Python.Spark.SQL.大数据开发经验.数仓建设经验.大数据
5-10年,本科,深圳,南山区,科技园,20,35K·15薪,江西金发,SQL.Spark.Hadoop.Hbase.Kafka.Flink.HDFS
5-10年,本科,深圳,南山区,西丽,20,40K·14薪,SHEIN,Java.Spark.Flume.Kafka.Hbase.Flink
10年以上,本科,深圳,,,35,65K·13薪,szcentral,Hive.Spark.Hbase.计算机相关专业.大数据开发经验.数仓
5-10年,本科,深圳,南山区,前海,15,30K,大数信科,HIVE.大数据开发经验.Hadoop.Kafka.管理.计算机相关专业.Spark.Flink.Hbase.大数据.数学/统计相关专业
5-10年,本科,深圳,南山区,科技园,15,30K·14薪,西人马科技,Java.Scala.Python.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,深圳,南山区,科技园,20,30K,纵横集团,Python.SQL.Hadoop.Kafka.HIVE.Flink.Java.Scala
经验不限,本科,深圳,龙华区,龙华,11,20K,富士康,Hbase.Flink.Spark.ETL开发经验.大数据开发经验.数仓建设经验
3-5年,本科,深圳,南山区,科技园,15,30K,三牛犇,数据仓库.数据分析.数据库
3-5年,大专,深圳,宝安区,福永,10,11K,郑州智创机器人公司,Java.Python.计算机相关专业.大数据开发经验.Go.Scrapy
经验不限,本科,深圳,宝安区,宝安中心区,30,60K,vivo,Java.Spark.FineReport（帆软）.Kettle
5-10年,本科,深圳,南山区,科技园,25,40K,爱租机,Java.Spark.Hadoop.Flink.Storm.Druid.大数据
3-5年,本科,深圳,南山区,科技园,20,30K,微品致远,Kafka.Flink.Hive
1-3年,大专,深圳,罗湖区,笋岗,8,13K,四川雅达尔科技有...,数仓建设经验.项目管理
5-10年,本科,深圳,福田区,车公庙,20,30K·14薪,顺丰丰e足食,大数据开发经验.数仓建设经验
3-5年,本科,深圳,南山区,海岸城,30,50K·16薪,阿里巴巴集团,Java.Python.Scala.Spark.Storm.Kafka.Hadoop.Flink
5-10年,本科,深圳,南山区,南头,20,40K·16薪,腾乐科技,数据仓库.ETL.SQL.Python.Hive.分布式技术.Hadoop.Spark
经验不限,本科,深圳,南山区,西丽,30,40K,深圳市果速科技,大数据
5-10年,本科,深圳,南山区,科技园,25,40K,奇点云,Java.HIVE.Spark.Kafka.Hadoop.HDFS
5-10年,本科,深圳,龙岗区,坂田,20,40K,华为,SQL.Kettle.Spark.Hadoop.FineReport（帆软）.HIVE.HDFS
3-5年,本科,深圳,南山区,科技园,15,30K·13薪,德信科技,数据挖掘.大数据.人工智能.Hadoop.标签平台.用户画像.Java
3-5年,大专,深圳,南山区,西丽,11,20K·13薪,滴滴出行,Kafka.Flink.Spark.大数据开发经验
5-10年,本科,深圳,,,45,75K,华盛通,HIVE.Spark.HDFS
3-5年,本科,深圳,南山区,科技园,18,24K,藤高科技,Java.Flink.Kettle.计算机相关专业.大数据开发经验.数仓建设经验
5-10年,本科,深圳,龙华区,龙华,15,16K,中安建业教育科技...,Hadoop.Spark.HIVE.Sqoop.SQL.Kettle
1-3年,大专,深圳,龙华区,民治,5,10K,企贝贝,Python
3-5年,本科,深圳,南山区,西丽,20,40K,正浩创新,Java.SQL.计算机相关专业.大数据开发经验
3-5年,本科,深圳,南山区,科技园,18,25K,储算科技,Java.Spark.Flink
3-5年,本科,深圳,南山区,科技园,18,30K,海知智能,Spark.Hadoop.HIVE.Java.Python.Kafka.Storm.Flink
5-10年,本科,深圳,南山区,科技园,20,40K,菜鸟窝,Hive.数据处理
5-10年,本科,深圳,龙华区,龙华,30,45K·16薪,银盛支付,数据仓库.数据挖掘.数据分析.Java.Python.Scala.分布式技术.Hadoop
5-10年,本科,深圳,南山区,西丽,30,40K·15薪,企知道,Flink
在校/应届,本科,深圳,坪山区,坪山,7,12K,比亚迪汽车有限公司,Hbase.Spark.vue.java.go
1年以内,本科,深圳,龙岗区,坂田,12,18K·13薪,亚声威格,Java.Python.SQL.计算机相关专业.大数据开发经验
3-5年,本科,深圳,南山区,科技园,30,35K·14薪,小赢科技,Java.Python.Shell
1-3年,大专,深圳,南山区,科技园,8,12K,开易科技,Java.Spark.Kafka.Zookeeper.Yarn.Presto.Flink.Azkaban
3-5年,本科,深圳,南山区,科技园,20,25K,深圳东晟数据,R语言
3-5年,本科,深圳,南山区,科技园,10,11K,腾讯,Java.Spark.HIVE.Kafka.Flink.Impala.Presto.Hbase
经验不限,本科,深圳,南山区,前海,20,40K·15薪,京东集团,数据处理
3-5年,大专,深圳,罗湖区,万象城,11,20K·13薪,深圳市多力特科技...,Java.Scala.Spark.Hadoop.HDFS.MapReduce.Kylin
3-5年,本科,深圳,南山区,科技园,20,35K·16薪,百度,Python.Java.Hadoop.Flink.HIVE
3-5年,本科,深圳,福田区,新洲,17,28K·15薪,禾月科技,Python.Shell.Spark.Flume.Kafka.Flink
5-10年,本科,深圳,宝安区,宝安中心区,30,35K,万邑通,数据仓库.数据开发.ETL
3-5年,本科,深圳,南山区,科技园,18,30K,深圳竹芒科技有限公司,Spark.Hadoop.Kafka.Sqoop.Flink.Kettle
5-10年,本科,深圳,龙华区,龙华,15,30K·14薪,宝能汽车,Kafka.Spark.SQL.计算机相关专业.大数据开发经验
3-5年,本科,深圳,龙岗区,坂田,15,30K,前海七剑,数据仓库.ETL.数据开发.数据采集.实时计算.离线计算.数据中台
3-5年,本科,深圳,南山区,科技园,12,20K·13薪,宇博信诚,Java.Spark.Hadoop.Kafka.Flink
5-10年,本科,深圳,南山区,科技园,20,40K·15薪,顺丰科技,Java.数仓建设经验.HIVE.gauss.大数据开发经验.ETL开发经验.Hadoop.mysql.Spark.Flink.Python.SQL
3-5年,本科,深圳,南山区,科技园,12,24K,雨添科技,Hadoop.Spark.分布式技术.大数据.HBase.Java
5-10年,本科,深圳,南山区,前海,20,30K,深圳市红色健康,数据仓库
1-3年,本科,深圳,南山区,科技园,30,50K·16薪,快手,Java.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,深圳,南山区,前海,20,35K·15薪,顺丰速运国际事业部,Java.Scala.Spark.Hadoop.Storm.Streaming.Flink
3-5年,本科,深圳,福田区,新洲,13,16K,德科信息,Python.Scala.Spark.Hadoop.Kafka.Flink.大数据
5-10年,本科,深圳,福田区,会展中心,25,35K,龙盈智达,Java.Scala.Flink.大数据开发经验.计算机相关专业
3-5年,本科,深圳,宝安区,西乡,15,30K·13薪,万师傅,Spark.Hadoop.Storm.Hbase.Flink.大数据.BI.银行
5-10年,本科,深圳,龙华区,观澜,20,30K·15薪,英飞拓,Hive.Flink.Spark
3-5年,本科,深圳,罗湖区,国贸,25,35K,深圳青山信息技术开发,Java.Storm.大数据开发经验.Zookeeper.Hadoop.Kafka.Spark.Flink.MapReduce
5-10年,本科,深圳,南山区,科技园,15,30K,丰图科技,Java.计算机相关专业.广告算法.用户画像.用户兴趣
1-3年,本科,深圳,南山区,西丽,19,25K·14薪,中泓在线,SQL.Spark.Hadoop.HIVE.Streaming.Flink
5-10年,本科,深圳,,,15,22K,云易物联,Java.Spark.Hive
3-5年,本科,深圳,南山区,科技园,20,40K·14薪,启工数据,Hadoop
5-10年,大专,深圳,南山区,西丽,17,23K,顶尖传诚科技有限公司,SQL.Python.计算机相关专业.大数据开发经验.数仓建设经验
经验不限,本科,深圳,龙华区,龙华,15,30K,深圳计算科学研究院,Hive.Java.Spark.数仓建设经验.Hadoop.集群.实时数仓建设
3-5年,本科,深圳,宝安区,西乡,20,30K,深圳毕方腾达科技,数据挖掘.Python.Scala.Spark.Hadoop.大数据.Objective-C.人工智能
5-10年,本科,深圳,,,20,40K,禾望电气,Java.Python.Shell.Spark.Hadoop.Flink
5-10年,本科,深圳,南山区,科技园,15,22K·14薪,联影数据,Java
5-10年,本科,深圳,南山区,科技园,20,40K·14薪,腾讯,数据仓库.数据分析.Spark.Hive
3-5年,本科,深圳,南山区,南油,15,30K·15薪,今日头条,数据仓库.数据开发.数据分析.数据治理.Go.Hive.MySQL.Elasticsearch
1-3年,本科,深圳,南山区,科技园,15,25K·13薪,斯普瑞特,Java.Spark.Hadoop.Presto.Flink.Druid
5-10年,本科,深圳,罗湖区,国贸,17,25K·13薪,海南钦诚,大数据开发经验.计算机相关专业
3-5年,本科,深圳,南山区,西丽,15,20K,深圳中亿集团,Python.Java.Spark.ETL开发经验.大数据开发经验.数仓建设经验
1-3年,本科,深圳,龙岗区,坂田,15,30K,华为,Java.Python.Spark.Hadoop
3-5年,本科,深圳,,,15,25K,航通星空,Java.Spark.Flink.计算机相关专业.大数据开发经验.数仓建设经验
经验不限,本科,深圳,福田区,梅林,25,30K,荣耀终端有限公司,Kafka.HIVE.Spark.Flink.Java.Python.数据可视化
,本科,深圳,南山区,西丽,120,240元/天,TCL实业,Kafka.HIVE.Flink.Hadoop.Java.Hbase.SQL.Spark
3-5年,本科,深圳,福田区,梅林,25,35K·13薪,货拉拉科技,SQL.Python.Spark.Hadoop.Scala
经验不限,本科,深圳,宝安区,石岩,7,12K·14薪,深圳市弘琛科技有...,计算机相关专业.大数据开发经验.Python.分布式AI工程平台开发
5-10年,本科,深圳,福田区,会展中心,30,40K·14薪,盛业,Python.Hadoop.HIVE
经验不限,本科,深圳,福田区,会展中心,30,60K,深圳金融科技研究院,ETL.Python.Spark.Hadoop.Kafka.HDFS.HIVE.大数据
5-10年,本科,深圳,宝安区,新安,15,20K·15薪,首航新能源,Python.Shell.Scala.Kafka.Flink.Yarn.Oozie
3-5年,本科,深圳,福田区,景田,18,25K·14薪,嘉立创,Flink.DWS.大数据.数仓模型
3-5年,本科,深圳,龙岗区,较场尾,15,20K,傲程软件,Java.Scala.Python.ETL开发经验.大数据开发经验.数学/统计相关专业.数据治理.linux系统.DataworksQuickB
5-10年,本科,深圳,南山区,科技园,20,40K·14薪,极光,Java.Flink.Hadoop
3-5年,本科,深圳,南山区,南山中心,10,15K,聚彩成壹,Java.Python.HIVE.Spark.Hadoop
3-5年,本科,深圳,福田区,梅林,15,30K,集友科创,数据仓库.数据挖掘.SQL.Java.Python.Scala.分布式技术.Hadoop
5-10年,大专,深圳,龙华区,龙华,13,26K,信言行,Python.flik
3-5年,本科,深圳,龙华区,大浪,12,24K,国电科技,Java.Spark.Hadoop
10年以上,本科,深圳,宝安区,西乡,20,30K,聚增科技,Scala.Spark.Kafka.Flink
3-5年,本科,深圳,福田区,车公庙,15,25K·13薪,滴滴优点,Java.Python.Shell.Spark.Hadoop.Flink
5-10年,本科,深圳,南山区,海岸城,15,25K,惟客数据,Spark.Hadoop.Hbase
3-5年,大专,深圳,罗湖区,笋岗,15,25K,智付推,数据仓库.ETL
3-5年,本科,深圳,南山区,前海,22,30K,前海一方,数据分析.数据仓库.数据挖掘.数据开发
3-5年,本科,深圳,福田区,福田保税区,25,40K,武汉联影医疗,SQL.Hive.Spark.大数据开发经验.数据开发.系统开发
5-10年,本科,深圳,龙岗区,坂田,20,25K·13薪,东方合智,Spark.Storm.Hadoop.HDFS.Flink
经验不限,本科,深圳,南山区,科技园,16,30K·14薪,富途,Java.Python.Shell.Spark.Flume.Flink.FineReport（帆软）
3-5年,本科,深圳,南山区,科技园,23,45K,传音控股,大数据.Kafka.Flink
3-5年,本科,深圳,南山区,科技园,12,18K,车位管家,计算机相关专业
5-10年,本科,深圳,南山区,科技园,30,40K·15薪,深圳市小满科技,Linux.ETL
5-10年,本科,深圳,龙岗区,龙岗宝荷,30,40K,比亚迪汽车工业,Java.SQL.Kafka.Flink
经验不限,本科,深圳,南山区,前海,30,50K·18薪,创金合信基金管理...,Hbase.Scala.Hive.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,深圳,南山区,科技园,18,35K·14薪,习淳,Python.Shell.Spark.HIVE.Hadoop.Hbase.Kafka.Flink
1-3年,本科,深圳,宝安区,宝安中心区,15,18K,震兑,数据架构.ETL.数据库开发
经验不限,本科,深圳,福田区,新洲,18,35K,国信证券,Java.数仓建设经验.Shell.大数据开发经验.Greenplum.气象数据.计算机相关专业.SQL
3-5年,本科,深圳,南山区,科技园,20,40K,腾讯音乐,数据开发.ETL.数据分析.数据治理.数据仓库
5-10年,本科,深圳,福田区,会展中心,25,30K,博彦科技,Java.Hadoop.Spark.Python.Golang
1-3年,本科,深圳,宝安区,西乡,15,25K,深圳驾控科技有限公司,Python.Shell.Spark.计算机相关专业.大数据开发经验.数仓建设经验.星环产品.银行.Oracle
3-5年,本科,深圳,南山区,科技园,14,16K,亿达信息,数据处理.数据库开发.数据架构
5-10年,本科,深圳,南山区,科技园,18,35K·13薪,滴普科技,Hive.Flink.Java.大数据开发经验.供应链.全球QMS产品
3-5年,本科,深圳,福田区,会展中心,10,15K,东方金信,SQL.Python.Shell.Spark.Impala.HIVE.Hbase.Flink
3-5年,本科,深圳,南山区,科技园,15,25K·15薪,明源云客,Python.SQL.数据模型
经验不限,本科,深圳,南山区,科技园,20,30K,四格互联,Python.Spark.Hadoop.Storm
3-5年,本科,深圳,宝安区,新安,15,30K,中数云,数据仓库.数据分析.数据开发
3-5年,本科,深圳,南山区,前海,25,40K,OPPO,Python.Java.Scala.Spark.Hadoop.Kafka.Storm.Flink
1-3年,大专,深圳,南山区,西丽,15,20K,艾美自然,Spark.Java.Kafka.Flink.Hadoop.Scala
1-3年,本科,深圳,南山区,南头,15,30K·13薪,安点科技,Python.Scala.Spark.Hadoop.Storm.MapReduce.Impala.HIVE
1-3年,本科,深圳,南山区,南油,12,18K,笑傲科技,Spark.Kafka.Flink.Java.Kotlin.Hbase.Linux
3-5年,本科,深圳,宝安区,西乡,12,20K·14薪,银澎,大数据开发经验
3-5年,本科,深圳,南山区,深圳湾,18,25K·13薪,SUTPC,SQL.Java.Kafka.Hbase.Flink.大数据
1-3年,本科,深圳,南山区,科技园,10,15K,北京臻观,Java.SQL.Python.数学/统计相关专业.计算机相关专业.大数据开发经验
5-10年,本科,深圳,,,25,50K·16薪,AKULAKU,C/C++.GO.聚类.特征检索（牵引）.人脸图谱.关系图谱.mysql.postgresql
1-3年,本科,深圳,南山区,科技园,20,35K·16薪,腾讯科技(北京)公司.txt,大数据.BI.人工智能.消费金融.数据仓库.数据治理.数据挖掘.数据架构师
1-3年,本科,深圳,南山区,科技园,20,30K,有传,Java.Python.HIVE.Spark.Storm.Kafka.Hadoop.Kylin
3-5年,本科,深圳,南山区,科技园,20,35K,虎瑞,Java.Scala.Python.计算机相关专业.大数据开发经验
1-3年,本科,深圳,福田区,梅林,18,28K·14薪,无域科技,Java.数据仓库.数据治理.数据采集.Scala.Python
3-5年,本科,深圳,南山区,深圳湾,20,40K·15薪,大翅鲸,数据开发
5-10年,本科,深圳,,,30,35K,SenseTime,Python.SQL.Scala.Spark.Kafka.Flink
3-5年,本科,深圳,南山区,科技园,20,35K,高竞文化,数据开发.数据仓库.数据治理.数据分析.Java.Hive.MySQL.大数据
3-5年,本科,深圳,福田区,华强南,15,25K,中信银行信用卡中心,Java.Scala.Spark.大数据开发经验.数仓建设经验.高并发
3-5年,本科,深圳,南山区,科技园,15,30K,传音控股,Streaming.Storm.Shell.Hive.大数据开发经验.Hadoop.Kafka.Spark.Flink.SQL
3-5年,本科,深圳,南山区,科技园,40,50K,深圳市祥云万维,Spark.Flink.Kafka.Hadoop.Kettle.Java.Streaming.SQL
3-5年,本科,深圳,南山区,科技园,20,35K·15薪,奇瑞汽车,Hive.Spark.Storm.计算机相关专业.数学/统计相关专业.大数据开发经验.java.scala.python
5-10年,学历不限,深圳,南山区,科技园,30,40K,云之讯,大数据开发经验
5-10年,大专,深圳,宝安区,石岩,30,50K·13薪,红米,数据分析.数据库开发.信息安全
3-5年,本科,深圳,南山区,深圳湾,15,25K,中建科工,SQL.ETL开发经验.大数据开发经验
3-5年,本科,深圳,龙岗区,平湖,20,35K,华杰电商,大数据开发经验.ETL开发经验
3-5年,本科,深圳,南山区,科技园,18,28K·13薪,云路信息科技,Python.计算机相关专业.java.springboot.跨境电商
5-10年,本科,深圳,南山区,西丽,20,30K·16薪,云鲸智能,SQL.Python.Spark.Hadoop.Kafka.Storm.Impala.HIVE
3-5年,本科,深圳,龙岗区,坂田,25,30K,唯咖玖网络科技,Flink.Java.Hive
3-5年,本科,深圳,福田区,皇岗,18,35K·15薪,龙杰电子,分布式技术.Hadoop.Spark.架构师
经验不限,本科,深圳,福田区,新洲,13,14K,深圳微蚂蚁,Java.Spark.Flink.SQL.Scala.Hbase
5-10年,本科,深圳,龙华区,观澜,18,35K·13薪,捷停车,Hive.Spark.大数据开发经验
5-10年,本科,深圳,福田区,梅林,30,60K,云基智慧,Python.Java.Spark.Hadoop.Flink.Kettle.DataX
1-3年,大专,深圳,宝安区,宝安中心区,8,13K·13薪,新云,Java.Python.Scala.分布式技术.Hadoop.Spark.Flink.大数据
1-3年,本科,深圳,福田区,梅林,10,14K,博胜丰科技,Kafka.Hadoop.Flink
3-5年,硕士,深圳,龙岗区,坂田,15,25K·16薪,西安华为,大数据.数据库开发.flink.Python.Hadoop.HIVE.Java.SQL
3-5年,本科,深圳,南山区,科技园,15,25K,联易融,Python.大数据开发经验.数仓建设经验.计算机相关专业
1-3年,硕士,深圳,龙岗区,平湖,12,17K·13薪,赛维时代,Python.SQL.Shell.HIVE.Azkaban.Flink.airflow
5-10年,本科,深圳,南山区,科技园,18,35K·14薪,明源云,SQL.Scala.大数据开发
3-5年,本科,深圳,南山区,科技园,20,28K·14薪,珑熙实业,Scala.Kafka.HDFS.Presto.Flink.Java.Ambari.Hbase
5-10年,本科,深圳,南山区,科技园,25,30K,深圳中讯智慧,SQL.etl.Oracle.数据仓库.hive.hadoop
经验不限,本科,深圳,南山区,科技园,35,65K·15薪,字节跳动,Python.Shell.Spark
5-10年,本科,深圳,南山区,西丽,28,50K·15薪,大疆创新,Java.Spark.Flink.计算机相关专业.大数据开发经验.ETL开发经验
3-5年,硕士,深圳,南山区,南油,25,50K,广发证券,Spark.Flink.Java.计算机相关专业.大数据开发经验.数仓建设经验
5-10年,本科,深圳,宝安区,西乡,25,45K·16薪,smoore,Flink.Hive.Spark.计算机相关专业
,本科,深圳,南山区,科技园,200,250元/天,小花科技,数据开发.BI报表开发
5-10年,本科,深圳,罗湖区,笋岗,15,25K,深圳市盈华讯方,Python.SQL.HIVE.hadoop
经验不限,本科,深圳,,,20,40K·16薪,数篷,Java.Flink.Spark.计算机相关专业.大数据开发经验
5-10年,本科,深圳,南山区,科技园,25,40K·15薪,滴普科技有限公司,SQL.Java.Spark.Kafka.Zookeeper
5-10年,本科,深圳,南山区,前海,25,35K,百达屋,Java.HIVE.Shell.Kettle.Flume.Spark.Impala.Hbase.SQL
3-5年,本科,深圳,南山区,西丽,20,40K·14薪,SHEIN,Hadoop.Kafka.Spark.HIVE.dorisdb.Flink
3-5年,本科,深圳,南山区,科技园,12,24K,柘阳,大数据开发经验.数仓建设经验
5-10年,本科,深圳,宝安区,新安,20,30K·15薪,绣水铭山,数据开发.数据采集.大数据架构.批流一体.spark.flink.数据仓库
5-10年,大专,深圳,福田区,园岭,10,25K,威豹恒瑞,大数据资深开发工程师
5-10年,本科,深圳,福田区,华强南,25,50K·15薪,格创东智,Python.Java.Shell.Scala.Spark.HIVE.Hadoop.Hbase
3-5年,大专,深圳,福田区,购物公园,12,20K,永映软件,Spark.Hadoop.HIVE.Hbase.Flink.Kafka.Impala.Yarn
3-5年,本科,深圳,福田区,车公庙,13,17K,雁联技术,Java.Flume.spring.HIVE.springboot
3-5年,大专,深圳,龙岗区,龙岗中心城,15,30K·13薪,纵维立方科技,Python.ETL开发经验.MYSQL
3-5年,本科,深圳,福田区,竹子林,20,25K·14薪,数势科技,Java.Python.HIVE.Spark.Hadoop.Yarn.Flink.Streaming
3-5年,本科,深圳,光明区,公明,20,25K,康佳,Spark.SQL.HIVE.Hadoop.Kafka.Hbase.HDFS
3-5年,本科,深圳,福田区,新洲,13,17K,中电金信,Python.Spark.HIVE.Hadoop.Kafka
5-10年,本科,深圳,南山区,科技园,20,30K,金九,大数据开发经验.Scala.Hadoop.计算机相关专业.数学/统计相关专业.hive、spark
1-3年,本科,深圳,龙华区,坂田,20,35K·13薪,上海玖行能源科技...,数据分析.大数据开发.hadoop.数据开发
1-3年,本科,深圳,龙岗区,坂田,15,30K,华为,SQL.Java.Scala.Spark.Kylin.Flink.Druid
1-3年,本科,深圳,,,12,17K,百度,数据仓库.数据开发.大数据系统架构.Hadoop.Storm.Spark
经验不限,本科,深圳,龙岗区,坂田,20,40K·13薪,华为技术有限公司,Java.Scala.Spark.Kafka.HIVE
1-3年,本科,深圳,福田区,车公庙,13,26K·13薪,睿服科技,Hive.Flink.ETL开发经验
5-10年,本科,深圳,福田区,福田保税区,14,19K,天阳科技,Java.Python.Shell.SQL.Scala.Spark.Hadoop.Impala
3-5年,本科,深圳,南山区,科技园,15,25K,鹏微,Java.Python.Hive.大数据开发经验.银行金融.clickhouse.Django
1-3年,大专,深圳,罗湖区,园岭,11,18K,壹诺恒,Python.Hive.Spark
3-5年,本科,深圳,龙岗区,坂田,12,21K,软通动力,Python.Spark.Sqoop.Hbase.Streaming.Hadoop.HIVE.大数据
3-5年,本科,深圳,宝安区,宝安机场,15,22K·13薪,跨越速运,Python.大数据开发经验.Java.HIVE.Shell.Hadoop.MySQL.Spark.Flink
3-5年,本科,深圳,南山区,科技园,25,40K·16薪,腾讯互娱,Hive.Spark.Flink.计算机相关专业.大数据开发经验.ETL开发经验
5-10年,本科,深圳,南山区,西丽,18,35K·14薪,SHEIN,Python.Java.Scala.Spark.Hadoop.Kafka.Flume.Yarn
5-10年,本科,深圳,南山区,科技园,30,45K·16薪,腾讯,Hive.Spark.Hbase.大数据开发经验.数仓建设经验
经验不限,本科,深圳,龙岗区,坂田,16,30K,华为云计算,Python.Java.Hadoop.HIVE.Kylin
5-10年,本科,深圳,南山区,华侨城,40,60K,华盛通,Python.计算机相关专业.时序预测.数据挖掘
5-10年,本科,深圳,南山区,科技园,50,60K,Shopee,Java.Flink.hudi
3-5年,本科,深圳,龙华区,龙华,15,16K,中安建业教育科技...,数据仓库.ETL.数据挖掘.SQL.Java.Hadoop.Spark.HBase
3-5年,本科,深圳,龙华区,龙华,20,35K,银盛支付,Python
3-5年,本科,深圳,宝安区,宝安中心区,20,40K,vivo,Java.大数据开发经验
经验不限,本科,深圳,南山区,西丽,20,35K·15薪,TCL实业,Java.Presto.Druid.大数据.Clickhouse
5-10年,本科,深圳,福田区,新洲,16,20K,中软国际,数仓建设经验.HIVE.Hive.Shell.大数据开发经验.Hadoop.Kafka.Spark.Flink.SQL
1-3年,本科,深圳,南山区,科技园,20,40K·16薪,微众银行,Python.SQL.Hive.计算机相关专业.大数据开发经验.数仓建设经验.Shell.Kettle.Hadoop.Kafka
1-3年,本科,深圳,龙岗区,坂田,13,20K·15薪,亚声威格,Hadoop.HIVE
1-3年,本科,深圳,龙岗区,坂田,13,25K,华为终端有限公司,Python.Shell.SQL.Spark.Kafka.Hadoop.Impala.java
5-10年,本科,深圳,南山区,科技园,18,28K,微品致远,Python.Java.Shell.Spark.Hadoop.Kafka.Flume.Zookeeper
5-10年,本科,深圳,南山区,科技园,20,35K·14薪,顺丰科技,Java.Scala.Spark.Hadoop.MapReduce.HIVE.Hbase
5-10年,本科,深圳,南山区,科技园,30,60K,腾讯,分布式技术.大数据.大数据研发.研发工程师.软件工程师.安全开发.安全
3-5年,本科,深圳,南山区,南山中心,30,60K·15薪,今日头条,Hive.Spark.Flink.计算机相关专业.大数据开发经验.数仓建设经验
5-10年,本科,深圳,南山区,西丽,20,40K,禾望电气,SQL.Python.Java.Scala.Spark.Hadoop.Flink
